user_id,item_id
57,2688 512 320 3537 3659 1543 2835 2006 1360 2290
58,472 2862 1543 463 512 1223 584 1831 1560 124
59,2528 169 1057 573 512 2474 1543 2402 2828 2933
60,3409 1543 1638 1316 3153 2557 796 1505 3529 2474
61,1956 2757 2745 3049 1039 16 398 283 169 2050
62,3382 2840 2256 2409 1166 3110 853 1956 335 791
63,584 640 1956 2297 1039 2757 2210 1811 2603 3529
64,3409 1279 573 184 2862 618 3013 169 1186 1223
65,2630 398 543 3262 2603 119 3238 109 1044 650
66,3022 1831 1039 2603 2210 2297 1583 2980 3694 2745
67,1223 3529 3409 3153 124 3402 3656 2564 2297 1337
68,2256 3022 1583 2732 2297 472 1831 2603 1811 169
69,2068 1811 474 2281 2054 2836 452 1615 3544 3349
70,2603 3022 472 2745 36 1316 3238 331 1337 1030
71,1543 1315 3600 3013 3367 3402 1615 2076 790 69
72,3298 452 2528 1848 1615 2256 1711 2119 1184 2956
73,472 922 3692 2054 1315 37 1658 863 1887 361
74,1223 2862 1543 1316 2256 401 573 2828 796 3131
75,584 3022 1039 208 331 2980 1211 293 463 1746
76,2256 3022 2281 2980 584 1956 2774 1711 2541 204
77,2745 3694 208 3529 463 2342 1746 3238 802 1086
78,989 124 463 1337 382 1583 2387 1916 2076 69
79,3022 584 3349 1216 2470 472 1510 2646 246 331
80,1039 1337 1615 476 2366 512 331 1279 1592 1916
81,1315 3116 1057 2646 1678 1240 3677 2402 2457 3367
82,2054 3116 1811 863 2646 1887 3474 3402 1615 790
83,472 2402 2054 1376 3692 1315 2256 3142 3059 1887
84,640 1831 2210 2630 2603 3529 331 463 1078 36
85,472 3013 2862 124 1560 989 3529 3153 790 2564
86,472 2054 2402 1315 863 467 1057 1887 3116 37
87,1186 1808 2335 204 2281 1315 2119 3557 452 3000
88,3409 2402 3269 463 1592 1615 2387 790 69 796
89,204 2281 1956 3298 584 1583 2980 169 1711 1831
90,2054 1543 1316 1615 790 3116 1858 3409 2646 3367
91,1543 2534 512 124 1505 22 2557 1592 2387 2314
92,472 640 584 2732 3013 1039 2980 2688 169 512
93,472 1316 1583 3013 1337 1615 2402 512 640 1916
94,3022 1039 472 584 2646 3529 640 2980 1831 463
95,2256 2603 2745 1560 3238 331 3529 2342 398 2732
96,2732 3022 1811 169 2256 472 2980 584 2297 1039
97,472 1811 2646 2980 1831 584 467 2297 3677 3022
98,1316 1223 989 1543 3013 1560 3529 2256 2862 463
99,2757 1811 2342 1617 1711 1471 3677 1374 1044 2281
100,472 1315 2402 1057 1376 1543 2732 790 2664 1316
101,472 3013 1583 1316 2297 463 2054 1039 1831 2564
102,3013 1223 1543 2862 1279 3423 3269 184 3409 1638
103,584 640 1039 1583 2210 2297 1831 2630 2757 2626
104,2256 2732 3022 2603 1583 640 2980 584 2745 2297
105,472 1583 2297 3022 2732 2054 1811 640 584 2256
106,472 1560 463 3013 2297 2402 3677 1316 3022 2732
107,2732 1583 3013 3022 1315 2862 169 3529 1279 2297
108,472 2402 1315 2054 1057 3418 1102 2664 1615 401
109,3022 584 2297 1831 1583 1956 2980 2646 640 2732
110,1223 3013 2402 124 3402 790 2528 3600 2054 1615
111,2402 467 3474 2980 2774 1371 1887 640 1341 3656
112,2862 1560 2564 36 989 1615 790 2664 2387 1592
113,1583 3013 1831 463 1316 36 2862 2210 476 1543
114,2636 2281 452 2054 1775 3227 2956 2646 1315 3696
115,3269 3423 406 3151 184 741 1668 1638 2474 3600
116,1583 3022 1831 584 1039 3529 2210 2980 463 2757
117,472 3022 2980 640 2646 1337 2732 2757 1811 331
118,1376 2054 3692 2732 922 3142 2673 3059 1057 132
119,1315 169 1186 3022 2732 132 472 2165 1615 2297
120,3013 3409 1223 2256 3423 1583 2862 2732 1560 2510
121,3022 2297 584 472 1039 1831 1956 3529 1811 2256
122,1543 1811 989 1615 463 124 2327 3402 3692 3059
123,2603 2256 3382 3022 569 2745 601 1354 1736 1401
124,1811 3529 2281 1615 2980 2646 2688 2054 1543 452
125,3013 3409 1583 1316 1638 3418 1560 1279 2402 640
126,1831 2402 467 2646 476 1371 1583 1887 2297 790
127,1811 1831 3022 640 2297 1956 2256 2068 2980 2774
128,2980 2646 2757 3529 3677 2338 183 2468 3327 1746
129,3529 989 1543 584 1039 2980 3409 124 2210 2732
130,1831 584 1583 2297 640 1039 1337 1560 3022 1956
131,1543 124 1316 989 528 2076 3367 2564 69 2265
132,1186 169 3557 3000 3298 2335 253 1279 184 1811
133,3022 1039 208 2342 3694 1078 1546 3053 2331 2501
134,2402 3692 1379 1057 1887 2261 863 1859 1658 361
135,3013 3529 1316 463 2402 2054 2862 989 3022 2664
136,1831 2297 1956 3022 1583 472 3529 1337 1211 1223
137,863 2646 1030 2054 3059 1887 1341 790 188 3694
138,640 1560 2757 1746 246 3371 2237 2129 3005 2402
139,1315 472 2528 1811 1057 2402 2732 1376 3142 1615
140,3022 1583 584 2297 640 2603 2210 1831 3529 169
141,2732 1583 3013 3022 1223 36 3409 3529 1039 2862
142,3013 1279 2862 184 1638 3269 1543 1560 2510 1039
143,472 1315 1543 3013 3423 1223 2054 3269 2528 2402
144,584 1546 1617 3534 3327 2281 2630 2338 1471 3529
145,3022 2626 1583 2501 543 1211 2297 82 119 3238
146,3013 2732 1583 3409 36 3022 2256 2054 1560 2862
147,1315 2054 2862 1279 3423 1615 1543 3013 132 1223
148,3692 1315 2327 37 1102 3402 3448 361 1811 527
149,640 3529 1831 2630 476 472 2745 1956 732 2501
150,2210 2603 3238 1583 2342 208 2745 1039 2068 2630
151,472 1223 3409 3013 584 463 1316 2862 36 512
152,2054 3692 2370 2862 1956 331 1510 2745 1858 183
153,1583 36 640 3013 2297 1223 2862 2210 2630 1831
154,512 2314 331 1811 2564 2602 2630 944 1868 1615
155,472 1315 2732 3022 1583 2646 2528 2054 584 2980
156,2297 472 2980 1315 1337 1615 2342 1030 1956 3668
157,584 1039 1583 2297 640 1956 1831 2210 169 2626
158,3409 2054 1316 2862 2732 2528 3668 3529 1279 1057
159,2370 3474 1887 1039 3402 527 3448 208 2603 2774
160,1316 1831 1615 463 2960 1315 1337 2646 508 2297
161,2603 2732 169 584 2297 1039 2256 3409 2510 2980
162,472 3423 2862 3013 1279 3409 1223 36 1543 1583
163,1583 1615 3327 2402 1746 1211 3529 463 476 2956
164,1831 3013 1560 2297 2862 2402 2980 2617 1956 1030
165,1315 2528 2054 132 1379 1057 2402 2732 1615 1840
166,3022 2297 584 1583 1831 2732 2646 2757 472 169
167,472 1223 1583 3529 1316 640 2297 3409 463 1831
168,3013 472 36 1543 2862 2510 3269 1279 1315 3529
169,1223 1560 2862 1583 2688 3423 1831 3424 124 2510
170,1337 1086 2646 1746 1316 2630 1223 169 1868 1560
171,3022 1583 2603 2732 3409 36 2688 2297 3013 2510
172,472 3423 3013 1223 3269 1279 36 3151 3409 796
173,1831 2646 2402 2054 1811 1615 2370 246 2732 3116
174,1315 1887 790 3656 3116 2370 37 2256 1371 246
175,3013 2862 2732 169 3529 1316 2510 1638 2402 1186
176,472 1583 2732 3529 640 584 1316 463 1039 2980
177,1583 3409 169 2054 3423 2862 36 1615 2297 1543
178,401 732 1505 3692 2557 463 1177 3013 2931 2528
179,2688 3022 3409 2784 1583 2603 2510 2297 512 1354
180,1811 1289 617 452 2176 2934 2170 3701 2069 517
181,472 3013 36 463 2564 989 124 2297 512 772
182,1279 2862 3013 3409 1223 184 3269 1543 472 169
183,584 1831 3022 1746 463 331 3238 398 1086 1337
184,2281 169 452 2256 1711 1186 1848 2297 2980 1583
185,2862 3423 3269 1543 184 1638 3151 741 796 3537
186,1186 169 512 1811 573 2335 3423 253 1583 2688
187,3013 1223 1316 3409 124 472 1560 3423 1858 3153
188,2626 2067 2732 36 2862 331 1546 2335 1811 2468
189,3013 2732 1560 1583 1376 989 463 2297 1057 1858
190,2636 2335 663 1536 2063 1289 2763 2176 1652 2874
191,1583 1279 2510 1316 3022 618 2557 463 2688 2732
192,3022 1211 169 331 2210 2626 183 472 3677 1615
193,1583 3013 2603 1223 36 640 3022 3409 3529 1831
194,1831 640 1583 3022 2297 3529 2980 463 2646 1746
195,2402 790 1376 1057 3692 3059 3142 2370 2327 863
196,1039 1956 3238 2732 2626 2646 1044 2468 2501 1746
197,3423 2862 3013 3409 1279 1223 1543 1638 573 3153
198,2194 1711 3327 1617 1248 2603 2630 1471 1044 3238
199,472 3013 1223 1315 3423 1279 1543 36 3269 3409
200,573 3125 3653 620 375 184 6 1011 132 3659
201,584 640 3529 2980 331 1211 512 2646 2342 3694
202,1039 3529 36 1831 2688 2630 2510 3409 2784 3013
203,472 1831 2980 246 640 1583 2370 2402 2297 467
204,3013 1223 3423 36 2862 1543 1316 3529 1583 1279
205,640 1223 1583 1831 1560 3022 2068 2980 2297 2370
206,1956 2297 1039 1583 2626 2732 1811 1546 2468 1211
207,472 1057 790 2256 1223 3656 1376 1840 37 3059
208,1279 2862 184 3013 3409 1223 3269 169 1583 1543
209,2732 2256 2297 1039 1811 640 169 472 1956 1831
210,472 1811 2402 1316 989 1543 2370 2774 1223 246
211,472 1223 3013 1316 1543 2862 3529 2297 2402 2054
212,1316 1223 3529 989 1543 1583 2564 640 1337 2862
213,1039 584 3529 36 2980 2630 2757 1956 476 169
214,472 1337 1086 2732 2370 2402 1560 3327 802 989
215,2980 2281 1583 183 2646 3418 1956 1808 1001 2956
216,3409 2862 3013 472 36 3269 169 2510 1638 1543
217,1374 1471 2774 1848 339 2999 324 1039 2468 212
218,2210 3694 208 1039 3022 2603 2757 2630 1583 36
219,2603 2784 2510 1583 3022 3013 36 640 2630 779
220,2297 2646 1831 584 1039 1337 2862 3013 124 1315
221,1379 1057 1376 37 3059 3142 2732 166 3692 922
222,3529 472 2745 1956 2646 2784 732 2664 2128 1560
223,2210 3022 1583 3694 2297 2603 1039 2630 3529 1956
224,2732 2980 584 2646 1039 1315 1811 169 1583 2054
225,472 2256 2402 1376 36 1583 3418 1315 3423 2054
226,3529 989 463 1615 2076 1030 2646 69 246 2327
227,640 2210 2630 1211 3238 3529 119 2468 463 1640
228,1583 2980 1831 169 2626 2757 3418 36 331 1078
229,472 3131 1315 3423 2828 2402 3269 2054 2862 236
230,169 1223 3409 3013 1279 1315 472 3022 184 2862
231,1315 1279 472 3423 2862 3269 3013 1543 2474 1057
232,1831 463 1039 36 476 1560 3022 1543 1337 3409
233,2256 3382 2068 3409 2688 2840 569 2732 1223 1354
234,1315 124 2370 863 467 1316 37 246 3600 1456
235,2256 2732 2402 1583 1831 1376 3022 2054 3692 2646
236,472 2402 3692 2054 1304 476 246 2370 36 3474
237,3013 124 382 1916 584 3365 94 1039 3022 2757
238,2646 472 3694 36 2768 2054 2603 2402 1510 1315
239,3022 1583 584 2297 1831 1039 2210 1956 2757 3529
240,2297 1956 2757 2745 3529 3418 1078 3694 2510 543
241,1316 36 1858 2327 3692 883 1560 3350 3600 1840
242,2980 2784 2603 1831 2757 1811 2931 331 2402 772
243,2402 1615 3402 1223 3116 2256 3013 3656 1376 3059
244,1831 2210 3694 584 2757 1039 3022 1583 2297 2603
245,472 1223 132 1316 1376 1057 1859 3142 3269 36
246,3013 1316 3409 463 1831 36 1560 1543 3022 2862
247,640 1956 1039 2757 331 3529 2745 169 2256 2342
248,584 2603 2630 2626 1956 476 331 2342 2980 208
249,1811 2281 3677 452 2528 1069 59 663 406 1536
250,3022 2688 1536 3116 2780 152 1858 2784 1044 2510
251,1831 1583 584 640 2297 1956 2980 472 3529 1811
252,584 1039 2297 640 2980 1956 2757 2630 2626 2732
253,3423 2862 36 1223 1543 1316 3529 1279 3269 1583
254,3022 1583 1039 2297 2732 169 3418 3529 36 2603
255,1070 253 512 974 184 1309 2732 2862 1615 617
256,472 3013 3153 3529 3269 989 1592 2534 796 463
257,472 169 1811 584 2980 1186 3418 2256 1315 2528
258,1583 331 1337 1223 1086 1543 1211 989 2630 944
259,472 36 2732 2402 3423 1315 3409 2862 1583 1543
260,1057 406 472 132 2646 3367 3151 1858 1279 2528
261,1057 467 790 1376 246 361 3142 3692 3327 2664
262,2745 3473 2664 601 183 3694 1337 3677 246 2774
263,2054 3692 3059 863 2370 246 3656 1341 3474 467
264,2054 1379 1057 37 2402 166 1376 1184 3059 3116
265,1337 476 487 3441 802 2169 1052 3600 1615 1592
266,1831 640 1583 1560 463 2564 1316 1223 3013 2297
267,3692 922 2673 2402 3142 2261 863 472 2054 361
268,472 1315 1223 2297 2646 2732 3418 1279 2862 132
269,3409 2745 3677 569 2281 1316 463 1223 2636 452
270,1543 2564 124 3153 1371 790 3402 2054 94 463
271,3022 584 1039 2297 1956 1583 2646 1831 1211 640
272,3423 3269 2862 3013 1279 1223 184 3409 3151 1316
273,2732 1583 2256 1223 3529 3692 1315 1615 2664 2297
274,1560 569 1831 472 2210 1216 601 1543 853 465
275,1583 2297 3022 1831 584 1039 3529 3013 1560 463
276,1039 2603 2297 2745 331 3529 1078 36 476 2784
277,3022 2297 1583 1831 1039 169 2646 2732 1560 3529
278,1078 2745 293 650 1546 1086 463 36 2132 1560
279,1956 2194 1510 2774 3349 1746 1328 1809 2366 2664
280,1831 1956 2603 1039 2745 2342 398 1086 2468 1211
281,640 2757 2210 398 2646 2342 1811 169 2194 476
282,640 1831 1583 584 1956 463 2210 1039 2757 331
283,2402 3692 1315 2054 2673 3059 132 1859 1887 37
284,1583 2297 3022 1086 2617 2256 3409 2745 802 293
285,640 2210 1216 3022 2630 584 2510 2688 1583 3066
286,3382 569 640 3022 3066 1831 2688 584 2210 2666
287,1811 3677 3298 2281 2646 646 1471 2342 452 2603
288,1831 1039 3022 3694 1956 2342 331 463 1746 1337
289,1811 3022 3677 169 2297 1583 2256 512 2281 2980
290,463 2862 1887 1371 790 3022 2528 1039 2564 1711
291,3423 36 1543 3269 1316 1638 618 2557 2510 772
292,1831 472 2297 1583 584 2980 640 1956 1811 3022
293,463 2054 1831 2402 2980 3409 2862 1615 36 1315
294,2980 3022 2768 1546 2732 1078 543 1086 3418 2050
295,584 1956 1811 2980 1039 3677 640 3298 183 2256
296,2603 2745 1736 3382 569 1401 601 1354 2068 853
297,640 2210 1546 1039 2745 3049 1007 493 1018 169
298,2603 640 1831 3529 2745 2342 331 512 543 1546
299,640 2297 2603 2054 2757 463 2745 476 1887 1560
300,2327 1858 989 463 3367 3350 2528 883 246 2224
301,640 3529 472 2980 1956 1039 2210 1560 1223 1316
302,1279 472 1315 2862 184 3423 1223 1186 3013 3269
303,3022 2732 1583 2980 584 472 1039 2603 640 3418
304,1543 472 3153 124 3423 3409 3269 989 2387 528
305,2054 3692 1315 3142 863 1887 361 1658 3448 1428
306,3022 1583 584 2297 169 3529 1186 36 1831 1956
307,2646 1315 2370 1543 1887 246 2327 2564 1371 922
308,3022 584 2297 640 2732 169 1956 1831 3529 2210
309,2688 2603 2256 3382 1956 2745 512 2068 1216 1811
310,1315 472 2646 2528 1057 2732 132 169 3022 1186
311,2980 1831 2603 1211 2745 3238 476 2256 3694 3534
312,472 3529 2646 467 1337 2256 790 1887 1030 3059
313,1039 1956 169 2980 512 640 2688 2757 331 2646
314,246 3474 467 3059 1887 1315 188 3448 1376 1033
315,472 3059 863 3692 2370 3142 1341 922 467 2732
316,2054 3692 863 2370 246 3142 1887 3474 1341 1315
317,584 2980 169 1848 2774 472 1086 2999 640 1001
318,1316 3013 2862 1543 3409 472 3153 463 2564 124
319,3022 1039 1583 2210 2603 2297 3694 2630 36 2342
320,472 2402 3402 883 1887 1858 1668 232 3656 1223
321,1583 3529 2564 3694 2646 36 2980 2745 1316 472
322,3272 2617 989 1956 3238 3153 944 2338 2745 2366
323,1223 2862 2256 1376 2745 1057 183 2774 1279 922
324,1057 132 406 1615 1379 3231 2466 3669 652 1193
325,472 1315 3151 3423 2862 3269 1543 1057 2528 1615
326,3022 2745 2630 1956 1039 1216 1078 2342 331 169
327,2402 1583 2054 3692 2980 3022 2297 1223 3529 640
328,2281 169 204 2956 183 1240 512 1057 3528 2664
329,472 2402 2980 2732 2256 246 467 1831 2370 1583
330,1216 3022 1401 3382 1736 584 2688 640 493 2210
331,2054 1376 1315 3692 3059 3142 790 863 1371 922
332,584 2626 1039 2297 543 1831 331 2745 1211 2256
333,2256 2732 2402 36 2862 2603 2980 1376 476 989
334,1831 584 3022 2297 472 1583 1039 2980 640 2732
335,2054 132 2646 1583 2297 2732 1039 1279 2528 3013
336,584 1583 2297 640 1039 1956 1831 2210 2980 2688
337,3022 584 1583 1039 640 2603 2980 2297 2732 2210
338,1057 1840 3116 1615 166 530 790 3402 1858 3367
339,132 2402 2933 3692 3269 3142 401 3131 494 1083
340,3022 2297 2732 2603 2745 2757 169 2342 1086 476
341,1039 640 1831 1583 472 2732 1211 1315 463 1746
342,2862 3423 3269 1543 1223 184 1638 3409 3151 36
343,472 2528 2054 2732 1811 2402 132 1840 37 2256
344,3013 1887 1371 2664 3656 2210 2327 1560 922 1337
345,584 3022 1831 640 1956 2980 2646 2757 2732 1746
346,3022 584 2297 1956 1039 1831 1583 2980 640 2646
347,1831 208 3529 1086 1337 3238 2768 3036 802 2732
348,2054 1615 1858 3350 3116 1057 1223 2297 3013 166
349,2402 863 3692 3656 3474 1304 1030 1223 1831 3327
350,2210 2745 2331 3022 1216 2630 3694 2342 331 1086
351,1811 169 2335 3677 2281 784 3022 2874 512 1725
352,1811 2256 169 1315 3677 2636 2281 2054 1186 3298
353,169 1831 3529 2510 1560 463 2757 2862 3694 2784
354,640 3022 1583 1039 2603 36 2630 3529 463 1505
355,2732 2646 1057 1840 3022 3116 1583 2297 1223 790
356,640 3529 1223 1560 2297 989 1337 476 3022 2210
357,3022 1831 2297 2210 1583 1956 2603 1039 2630 2342
358,1316 3013 3409 3529 124 2564 463 1560 1583 2387
359,3656 1316 3677 3367 863 3600 1592 1583 69 2470
360,2256 1560 1223 2636 3382 2840 3677 2402 1543 169
361,472 1376 3692 922 1315 2673 3059 2646 3418 1102
362,2603 1216 3382 569 1354 2745 601 1736 853 1401
363,584 2646 472 3529 1315 463 2342 3327 2630 2664
364,1279 3269 3423 184 406 3151 3013 2474 741 124
365,1315 124 2402 2054 3402 1615 2862 1811 1858 3116
366,584 1039 2980 3418 1956 169 1811 2646 183 1186
367,2402 1543 2528 3116 3600 1223 2636 246 232 530
368,584 1039 1956 2297 640 183 2603 1831 3418 1546
369,584 3022 476 1315 1211 3036 208 3694 1086 293
370,472 3423 1223 3409 2862 1543 2054 1638 1615 1316
371,3022 2688 169 1186 3423 584 3013 2067 1223 463
372,472 3423 3013 2862 1543 3269 1223 1279 1316 36
373,640 2210 2501 1831 1568 82 119 1044 1861 1490
374,3022 2210 2757 1039 2297 1583 476 1956 3694 2646
375,3529 989 463 3013 246 1560 2297 2732 1337 2256
376,584 2980 640 3418 2646 1956 2757 3529 183 2603
377,331 2297 1086 398 476 3529 3238 463 3694 1617
378,584 2980 2757 1039 1086 331 398 1211 3694 2342
379,472 1316 2402 1543 3409 3153 36 2256 463 2054
380,3022 1583 2297 472 584 2980 36 169 640 3418
381,1315 472 2256 2054 1057 2402 132 3022 1376 1840
382,2054 1376 1887 3059 3142 790 2370 1371 3402 3116
383,3298 1858 2646 3350 2528 663 3227 452 2054 3338
384,472 3013 1223 1315 2862 3409 1543 36 1560 2256
385,2980 1211 2468 2210 183 2194 3528 543 476 2054
386,1223 1543 1316 2862 3409 1315 1560 124 1858 3367
387,36 3013 1583 640 3409 3022 2603 1831 1039 1560
388,3269 3537 3423 2862 1279 1543 2798 3125 2293 320
389,640 2210 476 3694 1583 2757 2603 3022 2297 208
390,1583 1956 169 512 463 640 1831 2054 1811 2862
391,3022 584 2980 2297 1039 2745 1956 331 3529 36
392,2068 3382 2256 2840 1354 1560 1699 569 2603 1831
393,1638 3269 3151 2510 796 1668 618 1583 2528 1615
394,3013 1543 1560 2862 1315 3423 3153 3269 382 1858
395,1057 132 2070 1279 1615 3367 652 1858 166 2646
396,3022 1583 2297 640 1956 2646 2210 183 169 2626
397,3022 584 1583 1956 1039 2980 2757 2646 3529 2342
398,584 1831 640 1039 331 2757 169 2210 1211 2342
399,1316 3529 989 3013 1560 1543 1583 1831 2054 1811
400,472 1583 2732 3022 36 1039 1315 3423 3013 2862
401,1439 2858 573 253 2688 892 2256 1560 512 1039
402,1315 3022 2054 472 2980 584 1039 169 2297 1615
403,1831 1956 2297 1086 331 1039 2980 398 3238 2342
404,2402 3692 640 1583 1811 2370 3059 2297 584 1887
405,472 2402 2054 1376 2732 3692 3059 1315 863 2370
406,3022 2210 1039 2980 1956 2626 2342 2603 2297 3694
407,2636 2646 2054 1223 2297 3367 1858 124 2862 1583
408,640 2646 331 169 472 1615 1086 2768 36 3053
409,3022 2688 2784 2603 3409 2510 2256 2067 512 3131
410,1831 2342 1086 2630 212 3049 1711 1186 3238 2281
411,1583 2688 512 3013 3529 3022 169 463 2732 1560
412,1315 1858 2646 1811 3628 2400 1223 2376 2528 3402
413,2980 584 1583 2732 1956 3529 2256 463 331 476
414,584 1956 331 2603 2342 398 1086 3529 2745 2468
415,1223 2862 1316 3013 124 472 3600 382 3529 1858
416,3022 584 2626 1956 2342 3529 2468 1211 3694 3053
417,1315 2646 1039 1057 1615 2297 1583 132 2732 36
418,472 132 809 2466 3157 2402 3597 37 2070 652
419,1315 2054 2646 2402 1615 1057 3116 790 2980 863
420,2688 3409 169 573 2862 618 1583 3022 2784 512
421,584 3022 1086 2331 2338 2626 463 1546 2613 3005
422,1583 1223 3013 1316 2402 463 3409 36 2646 2980
423,3022 584 2297 1956 512 1831 2335 2646 640 2281
424,2784 2510 1216 1401 3022 1583 3473 3013 640 1736
425,1583 3022 2862 3423 169 36 1279 3529 618 573
426,2774 3529 2402 463 2054 1560 1337 124 188 1086
427,472 3013 3423 36 1543 1279 1315 3529 1583 3409
428,1811 2402 463 476 169 3116 1510 2528 621 2603
429,472 1316 989 1223 2862 3529 124 463 3409 2564
430,1831 1811 3529 2636 463 2732 2281 472 1337 3238
431,640 3409 2210 2603 2564 476 3013 1583 2757 3022
432,3013 3409 3423 2862 36 1638 618 1560 472 3269
433,1811 3298 169 2281 3677 452 3000 512 1536 2063
434,3013 1316 1543 3409 2564 3423 36 1560 3269 3272
435,3529 463 2980 3022 1223 476 944 1560 1615 1211
436,1315 2732 169 2528 1039 1186 2297 1615 2646 584
437,1811 3022 2335 1186 1808 1711 1583 1039 2956 3227
438,3409 3382 2256 2510 1216 1560 640 2068 3022 2840
439,463 1337 2646 1223 1560 1086 2210 3694 802 1030
440,1583 472 2297 640 584 1039 2980 2732 2646 2210
441,1279 2862 3423 1223 3269 3409 1543 184 3151 36
442,1560 1223 3013 3022 2732 1315 2256 1831 584 36
443,472 1315 1223 2402 1316 2054 124 3409 790 1858
444,463 3418 472 1956 2603 2757 2630 1505 476 1223
445,2646 584 1315 1831 472 640 208 1510 2402 1583
446,472 1583 3529 1831 463 2297 1316 2402 2980 1223
447,640 1831 2210 3694 476 2331 1039 1956 3022 2342
448,1315 472 1379 2402 1376 1057 3059 1840 3692 132
449,472 1315 2402 2054 1223 3013 2732 1615 2646 790
450,1315 1811 2980 467 2297 3116 1223 1583 2732 1746
451,1057 1379 2402 1376 3059 3142 872 922 3692 3438
452,2054 1615 1858 2646 3367 36 3350 1831 3022 3423
453,1315 472 467 2402 863 3438 1887 3059 37 1840
454,2646 584 2402 2370 2636 169 1316 1223 2664 1560
455,2732 3022 472 1583 2980 584 1039 2297 2646 2603
456,472 3013 3423 1223 2862 1543 36 1279 2732 2402
457,472 3423 3013 132 2862 1223 1279 1543 3269 36
458,2402 2054 2256 2732 2646 1223 1615 790 3013 1887
459,1279 3013 169 184 1560 2510 1638 1186 618 573
460,3409 3013 1316 1223 2862 1583 1543 3153 472 2564
461,472 2297 3423 2664 2732 790 2646 3367 3022 1592
462,1315 2862 1638 1505 1615 406 2054 2646 2528 2006
463,472 3013 1223 3409 2862 2054 1315 1615 1583 1858
464,2054 2732 1376 1315 3692 1811 1615 3059 1887 863
465,3529 1583 36 1316 584 1337 2210 1543 1505 2564
466,1315 3013 132 2402 3423 36 2732 1223 1376 2862
467,1831 640 584 3022 1583 2297 2210 2757 331 3238
468,2256 2732 640 2980 1583 3022 1831 2297 2054 584
469,2603 331 2630 2688 2342 169 1086 2331 1617 2338
470,1831 1039 476 2646 1223 2980 472 3013 1956 208
